"idkontr"|"idzak"|"idzdroje"|"datumod"|"datumdo"|"cena_celkem"|"naklady_celkem"
284718|274|4|23.1.2005 0:00:00|5.2.2005 0:00:00|916544,94 Kè|509191,65 Kè
284719|191|4|6.2.2005 0:00:00|18.2.2005 0:00:00|851077,45 Kè|472820,82 Kè
284720|253|4|19.2.2005 0:00:00|1.3.2005 0:00:00|720142,46 Kè|400079,15 Kè
284721|263|4|15.3.2005 0:00:00|22.3.2005 0:00:00|523739,97 Kè|290966,66 Kè
284722|208|4|23.3.2005 0:00:00|24.3.2005 0:00:00|130934,99 Kè|72741,66 Kè
284723|266|4|25.3.2005 0:00:00|28.3.2005 0:00:00|261869,98 Kè|145483,33 Kè
284724|258|4|29.3.2005 0:00:00|3.4.2005 0:00:00|392804,98 Kè|218224,99 Kè
284725|279|4|4.4.2005 0:00:00|17.4.2005 0:00:00|916544,94 Kè|509191,65 Kè
284726|258|4|28.5.2005 0:00:00|30.5.2005 0:00:00|196402,49 Kè|109112,50 Kè
284727|191|4|31.5.2005 0:00:00|8.6.2005 0:00:00|589207,46 Kè|327337,49 Kè
284728|229|4|9.6.2005 0:00:00|12.6.2005 0:00:00|261869,98 Kè|145483,33 Kè
284729|197|4|13.6.2005 0:00:00|14.6.2005 0:00:00|130934,99 Kè|72741,66 Kè
284730|298|4|20.6.2005 0:00:00|30.6.2005 0:00:00|720142,46 Kè|400079,15 Kè
284731|304|4|1.7.2005 0:00:00|6.7.2005 0:00:00|392804,98 Kè|218224,99 Kè
284732|213|4|7.7.2005 0:00:00|14.7.2005 0:00:00|523739,97 Kè|290966,66 Kè
284733|258|4|15.7.2005 0:00:00|22.7.2005 0:00:00|523739,97 Kè|290966,66 Kè
284734|200|4|23.7.2005 0:00:00|24.7.2005 0:00:00|130934,99 Kè|72741,66 Kè
284735|266|4|25.7.2005 0:00:00|4.8.2005 0:00:00|720142,46 Kè|400079,15 Kè
284736|292|4|11.8.2005 0:00:00|25.8.2005 0:00:00|982012,44 Kè|545562,48 Kè
284737|295|4|26.8.2005 0:00:00|30.8.2005 0:00:00|327337,48 Kè|181854,16 Kè
284738|191|4|14.9.2005 0:00:00|20.9.2005 0:00:00|458272,47 Kè|254595,82 Kè
284739|213|4|21.9.2005 0:00:00|27.9.2005 0:00:00|458272,47 Kè|254595,82 Kè
284740|253|4|28.9.2005 0:00:00|4.10.2005 0:00:00|458272,47 Kè|254595,82 Kè
284741|247|4|5.10.2005 0:00:00|14.10.2005 0:00:00|654674,96 Kè|363708,32 Kè
284742|263|4|15.10.2005 0:00:00|28.10.2005 0:00:00|916544,94 Kè|509191,65 Kè
284743|258|4|6.11.2005 0:00:00|11.11.2005 0:00:00|392804,98 Kè|218224,99 Kè
284744|287|4|12.11.2005 0:00:00|24.11.2005 0:00:00|851077,45 Kè|472820,82 Kè
284745|295|4|25.11.2005 0:00:00|5.12.2005 0:00:00|720142,46 Kè|400079,15 Kè
284746|229|4|20.12.2005 0:00:00|30.12.2005 0:00:00|720142,46 Kè|400079,15 Kè
284747|229|4|31.12.2005 0:00:00|5.1.2006 0:00:00|392804,98 Kè|218224,99 Kè
284748|258|4|6.1.2006 0:00:00|8.1.2006 0:00:00|174196,91 Kè|96776,06 Kè
284749|178|4|9.1.2006 0:00:00|22.1.2006 0:00:00|812918,91 Kè|451621,63 Kè
284750|213|4|6.2.2006 0:00:00|10.2.2006 0:00:00|290328,18 Kè|161293,44 Kè
284751|253|4|11.2.2006 0:00:00|12.2.2006 0:00:00|116131,27 Kè|64517,38 Kè
284752|307|4|17.2.2006 0:00:00|23.2.2006 0:00:00|406459,45 Kè|225810,81 Kè
284753|229|4|24.2.2006 0:00:00|4.3.2006 0:00:00|522590,73 Kè|290328,19 Kè
284754|200|4|5.3.2006 0:00:00|8.3.2006 0:00:00|232262,55 Kè|129034,75 Kè
284755|304|4|9.3.2006 0:00:00|17.3.2006 0:00:00|522590,73 Kè|290328,19 Kè
284756|226|4|18.3.2006 0:00:00|25.3.2006 0:00:00|464525,09 Kè|258069,50 Kè
284757|304|4|26.3.2006 0:00:00|27.3.2006 0:00:00|116131,27 Kè|64517,38 Kè
284758|203|4|28.3.2006 0:00:00|2.4.2006 0:00:00|348393,82 Kè|193552,13 Kè
284759|188|4|3.4.2006 0:00:00|4.4.2006 0:00:00|116131,27 Kè|64517,38 Kè
